Feature ID,Area,Reference feature,Reference source location,Reference entry point,Rust status,Rust source location,Rust production entry point,Unit tested,Integration tested,End-to-end tested,Behaviorally compatible,Error compatible,Cross-platform verified,Security reviewed,Evidence,Gap,Severity,Release blocker,Recommended action
F001,CLI,"Entry point index.ts (yargs bootstrap, strict mode, fail handler)",opencode/src/index.ts:80-142,index.ts main,IMPLEMENTED_CONNECTED,oc-cli/src/main.rs:71-118; cli/cmd/mod.rs:32-59,main(),Yes,Yes,Yes,Yes,Yes,No,No,RUNTIME: --version prints 1.18.13; unknown arg exits 1 with help,clap vs yargs parity of error text; no strict-mode parity test,Informational,No,Add golden tests for parse-error messages vs yargs
F002,CLI,Global options --print-logs --log-level --pure,opencode/src/index.ts:49-64,index.ts middleware,IMPLEMENTED_CONNECTED,oc-cli/src/cli/args.rs:12-25,main(),Yes,Yes,Yes,Yes,No,No,No,STATIC: flags parsed and env applied in apply_env() args.rs:103-113,log-level choices matched; --print-logs not verified at runtime,Low,No,Runtime-verify log output routing
F003,CLI,Global env middleware AGENT/OPENCODE/OPENCODE_PID,opencode/src/index.ts:58-62,index.ts middleware,IMPLEMENTED_CONNECTED,oc-cli/src/main.rs:72-74,main(),No,No,Yes,Yes,No,No,No,STATIC: set_var AGENT/OPENCODE/OPENCODE_PID,none,Informational,No,-
F004,CLI,Version flag --version/-v,opencode/src/index.ts:47-48,index.ts,IMPLEMENTED_CONNECTED,"oc-cli/src/main.rs:83-86,102-105",main(),No,No,Yes,Yes,No,No,No,RUNTIME: prints 1.18.13,none,Informational,No,-
F005,CLI,Strict unknown-argument rejection,opencode/src/index.ts:104-116,index.ts .fail/.strict,IMPLEMENTED_CONNECTED,oc-cli/src/main.rs:91-97,main(),No,No,Yes,Partial,Partial,No,No,RUNTIME: unknown command exits 1,clap error text differs from yargs,Low,No,Golden-test error text
F006,CLI,Shell completion generation,opencode/src/index.ts:80,index.ts .completion,IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/completion.rs:6-174,completion::run(),Yes,Yes,Yes,Partial,Partial,No,No,RUNTIME+TEST: clap_complete generates Bash/Elvish/Fish/PowerShell/Zsh scripts from the canonical visible command tree with nested options, arguments, aliases, and shell-path detection; focused command-tree suite passes 5/5; revalidated 2026-08-18,Exact reference shell wording and platform-specific install UX remain
F007,CLI,Help text / logo rendering,opencode/src/cli/ui.ts; index.ts show(),index.ts show(),IMPLEMENTED_CONNECTED,oc-cli/src/main.rs:40-52; cli/ui.rs,main(),No,No,Yes,Partial,No,No,No,RUNTIME: --help shows logo + usage,yargs help format differs (positionals/options ordering),Low,No,Golden-test --help text
F008,Commands,Default TUI command `opencode [project]`,opencode/src/cli/cmd/tui.ts:73,tui.ts run(),PARTIAL,oc-cli/src/cli/cmd/attach.rs:107-281; oc-tui/src/app.rs,run_default_tui(),No,No,Partial,Partial,No,No,No,RUNTIME+TEST: TTY path starts oc-server and launches oc-tui::run_async; initial `--prompt` is preserved into `TuiInput` with a focused regression; non-TTY remains a guarded message,full TUI behavioral/config/auth parity and TTY e2e coverage remain,Critical,Yes,Expand TUI parity and terminal integration tests
F009,Commands,`opencode run` non-interactive,opencode/src/cli/cmd/run.ts:127-1270,run.ts run(),IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/run/mod.rs:229-452,run::run()/pick_agent(),Yes,Yes,Yes,Partial,No,No,No,RUNTIME+TEST: local/attached run starts oc-server, resolves configured primary agents through /agent, and completes the connected live-provider path; fact: prompt->SSE->runner->provider flow verified over HTTP API; revalidated 2026-08-18,Full interactive and provider/error/TUI parity remains,Critical
F010,Commands,run --format json event stream,opencode/src/cli/cmd/run.ts:174-179,run.ts,IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/run/events.rs:1-358,event_loop(),Yes,Yes,Yes,Partial,No,No,No,RUNTIME+SMOKE: local JSON event stream and live SSE status/text/assistant/idle events observed and normalized; fact: prompt->SSE->runner->provider flow verified over HTTP API; revalidated 2026-08-18,Reference event and error surface is not fully complete,High,Yes,Add differential event tests
F011,Commands,run --interactive / --mini direct mode,opencode/src/cli/cmd/run.ts:220-245,run.ts runInteractiveMode,IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/run/mod.rs:448-638,run_mini(),Yes,Yes,Partial,Partial,No,No,No,RUNTIME+CHECK+TEST: --interactive/--mini dispatches local or attached oc-tui with initial prompt and structured file parts; fact: interactive loop works (bootstrap decode, agent-model line, Enter submits; enter_on_home_submits_and_clears_prompt regression); revalidated 2026-08-18,Full interactive mode/file-part/auth parity and TTY e2e coverage remain,High
F012,Commands,run --attach remote server,opencode/src/cli/cmd/run.ts:190-193,run.ts attachSDK,PARTIAL,oc-cli/src/cli/cmd/run/client.rs:73-410,AttachClient,Yes,No,No,Partial,No,No,No,STATIC: full HTTP client surface (session/event/config/path),No live server to test against in this environment,Medium,No,Integration test against running reference server
F013,Commands,run --command slash command,opencode/src/cli/cmd/run.ts:143-146,run.ts,PARTIAL,oc-cli/src/cli/cmd/run/mod.rs:246-257,execute(),No,No,Partial,Partial,No,No,No,STATIC: session_command wired via client,Requires working server,Medium,No,-
F014,Commands,run file attachment -f/--file,opencode/src/cli/cmd/run.ts:180-185,run.ts attachFiles,IMPLEMENTED_CONNECTED,oc-cli/src/cli/cmd/run/mod.rs:62-150,attach_files(),No,No,Partial,Partial,No,No,No,STATIC: mime/utf8/base64/file:// logic mirrors reference; error messages match,e2e not verified,Low,No,-
F015,Commands,run --continue/--session/--fork,opencode/src/cli/cmd/run.ts:147-160,run.ts resolveSession,PARTIAL,oc-cli/src/cli/cmd/run/mod.rs:341-397,resolve_session(),No,No,Partial,Partial,No,No,No,STATIC: fork/list/get/create flow implemented,Requires server,Medium,No,-
F016,Commands,run --share / autoshare,opencode/src/cli/cmd/run.ts:161-164,run.ts share(),PARTIAL,oc-cli/src/cli/cmd/run/mod.rs:399-408; oc-server/src/instance_handlers.rs,share(),Yes,Yes,Partial,Partial,No,No,No,RUNTIME+TEST: run share reaches the configurable enterprise share protocol and durable session_share row; background sync is covered by a mock server,Autoshare policy and remote-service/auth edge parity remain,Medium,No,Complete autoshare and auth parity
