Command,Scenario,Reference exit code,Rust exit code,Reference stdout,Rust stdout,Reference stderr,Rust stderr,Equivalent,Difference category,Evidence,Severity,Release blocker
--version,--version,0,0,[8B] 1.18.13,[8B] 1.18.13,[EMPTY],[EMPTY],True,NONE,"byte-identical stdout '1.18.13\n', exit 0 both",Informational,no
-v,-v,0,0,[8B] 1.18.13,[8B] 1.18.13,[EMPTY],[EMPTY],True,NONE,"byte-identical version, exit 0 both",Informational,no
version,version,0,1,[EMPTY],[EMPTY],[67B] \e[91m\e[1mError: \e[0mFailed to change directory to /root/version,[149B] \e[91m\e[1mError:  \e[0mFailed to change directory to /root/version,False,EXIT_CODE_DIFFERENCE,"treated as TUI project path; ref cd-fail exits 0, rust cd-fail exits 1 + extra 'Unexpected error'",Medium,no
--help,--help,0,0,[EMPTY],[EMPTY],[4119B] ⠀                                ▄     ,[3024B] ⠀                                ▄     ,False,OUTPUT_DIFFERENCE,logo+help to stderr both; clap vs yargs layout; rust leaks GlobalArgs doc-comment into help header,Medium,no
-h,-h,0,0,[EMPTY],[EMPTY],[4119B] ⠀                                ▄     ,[3024B] ⠀                                ▄     ,False,OUTPUT_DIFFERENCE,same as --help,Medium,no
help,help,0,1,[3960B] Commands:,[EMPTY],[EMPTY],[146B] \e[91m\e[1mError:  \e[0mFailed to change directory to /root/help,False,MISSING_COMMAND,"ref has yargs 'help' subcommand (help to stdout, exit 0); rust disable_help_subcommand=true -> treats 'help' as project path, exit 1",Medium,yes
badcommand,badcommand,0,1,[EMPTY],[EMPTY],[70B] \e[91m\e[1mError: \e[0mFailed to change directory to /root/badcommand,[152B] \e[91m\e[1mError:  \e[0mFailed to change directory to /root/badcommand,False,EXIT_CODE_DIFFERENCE,ref: TUI cd-fail -> exit 0 'Failed to change directory'; rust: exit 1 + 'Unexpected error',Medium,no
--badflag,--badflag,1,1,[EMPTY],[EMPTY],[4119B] ⠀                                ▄     ,[188B] error: unexpected argument '--badflag' found,False,STDERR_DIFFERENCE,"both exit 1; ref shows logo+full help, rust shows clap error",Low,no
--log-level,--log-level DEBUG --version,0,0,[8B] 1.18.13,[8B] 1.18.13,[EMPTY],[EMPTY],True,NONE,"version printed, exit 0 both",Informational,no
--log-level,--log-level BOGUS --version,0,1,[8B] 1.18.13,[EMPTY],[EMPTY],[142B] error: invalid value 'BOGUS' for '--log-level <LOG_LEVEL>',False,EXIT_CODE_DIFFERENCE,ref prints version exit 0 (short-circuit before validation); rust validates first -> exit 1,Medium,no
--pure,--pure --version,0,0,[8B] 1.18.13,[8B] 1.18.13,[EMPTY],[EMPTY],True,NONE,exit 0 both,Informational,no
--print-logs,--print-logs --version,0,0,[8B] 1.18.13,[8B] 1.18.13,[EMPTY],[EMPTY],True,NONE,exit 0 both,Informational,no
-z,-z,1,1,[EMPTY],[EMPTY],[4119B] ⠀                                ▄     ,[167B] error: unexpected argument '-z' found,False,STDERR_DIFFERENCE,"both exit 1 unknown flag; ref full help, rust clap error",Low,no
--log-level,--log-level,1,1,[EMPTY],[EMPTY],[4119B] ⠀                                ▄     ,[162B] error: a value is required for '--log-level <LOG_LEVEL>' but none was ...,False,STDERR_DIFFERENCE,both exit 1 missing value,Low,no
--log-level,--log-level info,1,1,[EMPTY],[EMPTY],[4119B] ⠀                                ▄     ,[141B] error: invalid value 'info' for '--log-level <LOG_LEVEL>',False,STDERR_DIFFERENCE,both exit 1 invalid choice,Low,no
--pure,--pure,TIMEOUT,0,[7055B] \e[?2031h\e]10;?\e]11;?\e[>0q\e[?25l\e[s\e[6n\eP+q4d73\e\\e[?1016$p\...,[EMPTY],[EMPTY],[47B] \e[90m opencode: starting TUI (requires a TTY),False,NOT_WIRED,ref starts real TUI (runs); rust prints 'starting TUI (requires a TTY)' exit 0,Critical,yes
completion,completion,0,1,[932B] ###-begin-opencode-completions-###,[EMPTY],[EMPTY],[116B] \e[93m\e[1m !   \e[0m shell completion generation is not yet wired in ...,False,NOT_WIRED,ref emits bash completion to stdout exit 0; rust 'not yet wired' exit 1 (cli/cmd/completion.rs:12),High,yes
completion,completion bash,0,1,[932B] ###-begin-opencode-completions-###,[EMPTY],[EMPTY],[115B] error: unexpected argument 'bash' found,False,MISSING_FLAG,"ref ignores positional, emits completion exit 0; rust errors 'unexpected argument'",Medium,yes
completion,completion --help,1,0,[EMPTY],[EMPTY],[4119B] ⠀                                ▄     ,[371B] generate shell completion script,False,EXIT_CODE_DIFFERENCE,"ref exit 1 (root help), rust exit 0 (completion help)",Low,no
--get-yargs-completions,--get-yargs-completions run h,0,1,[EMPTY],[EMPTY],[EMPTY],[230B] error: unexpected argument '--get-yargs-completions' found,False,MISSING_COMMAND,ref supports yargs completion protocol exit 0; rust unknown arg exit 1,Medium,yes
get-yargs-completions,get-yargs-completions,0,1,[EMPTY],[EMPTY],[81B] \e[91m\e[1mError: \e[0mFailed to change directory to /root/get-yargs-c...,[163B] \e[91m\e[1mError:  \e[0mFailed to change directory to /root/get-yargs-...,False,EXIT_CODE_DIFFERENCE,both treat as project path; cd-fail exit 0 (ref) vs 1 (rust),Low,no
run,run,1,1,[EMPTY],[EMPTY],[63B] \e[91m\e[1mError: \e[0mYou must provide a message or a command,[64B] \e[91m\e[1mError:  \e[0mYou must provide a message or a command,False,STDERR_DIFFERENCE,both exit 1 'You must provide a message or a command'; rust double-space 'Error:  ',Low,no
run,run hello,0,1,[33B] Hello! How can I help you today?,[EMPTY],[33B] \e[0m,[192B] \e[91m\e[1mError:  \e[0mthe in-process opencode server is not wired ye...,False,NOT_WIRED,ref runs full LLM session (big-pickle model) exit 0; rust 'in-process server not wired' exit 1 (run/client.rs:67),Critical,yes
run,run --format json hello,0,1,"[951B] {""type"":""step_start"",""timestamp"":1785920372157,""sessionID"":""ses_02ed9c...",[EMPTY],[EMPTY],[192B] \e[91m\e[1mError:  \e[0mthe in-process opencode server is not wired ye...,False,NOT_WIRED,ref streams step_start/text JSON events to stdout exit 0; rust not wired exit 1,Critical,yes
run,run hello world,0,1,[33B] Hello! What can I help you with?,[EMPTY],[33B] \e[0m,[192B] \e[91m\e[1mError:  \e[0mthe in-process opencode server is not wired ye...,False,NOT_WIRED,same as run hello,Critical,yes
run,run --fork,1,1,[EMPTY],[EMPTY],[63B] \e[91m\e[1mError: \e[0mYou must provide a message or a command,[64B] \e[91m\e[1mError:  \e[0mYou must provide a message or a command,False,STDERR_DIFFERENCE,both exit 1 'You must provide a message',Low,no
