ID,Domain,Behavior,Reference Source,Rust Source,Unit Tested,Integration Tested,PTY Tested,Status
TUI-START-001,Startup and Shutdown,Default opencode launch in interactive TTY,packages/opencode/src/cli/cmd/tui.ts,crates/oc-cli/src/cli/cmd/attach.rs; crates/oc-tui/src/app.rs,Yes,Yes,Yes,PASS
TUI-START-002,Startup and Shutdown,Project directory argument resolution,packages/opencode/src/cli/cmd/tui.ts,crates/oc-cli/src/cli/cmd/attach.rs,Yes,Yes,Yes,PASS
TUI-START-003,Startup and Shutdown,Startup with no existing sessions (Home view),packages/tui/src/routes/home.tsx,crates/oc-tui/src/app.rs (render_home),Yes,Yes,Yes,PASS
TUI-START-004,Startup and Shutdown,Startup with existing sessions,packages/tui/src/routes/home.tsx,crates/oc-tui/src/app.rs,Yes,Yes,Yes,PASS
TUI-START-005,Startup and Shutdown,Startup with no configured provider (Connect banner/toast),packages/tui/src/routes/session/footer.tsx,crates/oc-tui/src/app.rs,Yes,Yes,Yes,PASS
TUI-START-006,Startup and Shutdown,Clean exit on app.exit (Ctrl+C / q),packages/tui/src/app.tsx,crates/oc-tui/src/app.rs (exit_app),Yes,Yes,Yes,PASS
TUI-START-007,Startup and Shutdown,"Terminal cleanup (raw mode, alternate screen)",packages/tui/src/terminal.ts,crates/oc-tui/src/terminal.rs,Yes,Yes,Yes,PASS
TUI-START-008,Startup and Shutdown,SIGINT / SIGTERM signal forwarding and shutdown,packages/tui/src/terminal.ts,crates/oc-tui/src/app.rs; crates/oc-util/src/util/signal.rs,Yes,Yes,Yes,PASS
TUI-START-009,Startup and Shutdown,SIGTSTP terminal suspend and foreground resume,packages/tui/src/terminal.ts,crates/oc-tui/src/terminal.rs,Yes,Yes,Yes,PASS
TUI-HOME-001,Home Screen,4-line OpenCode block logo rendering,packages/tui/src/logo.ts,crates/oc-tui/src/logo.rs,Yes,Yes,Yes,PASS
